"Subject" "Activity" "tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tBodyAcc.std...X" "tBodyAcc.std...Y" "tBodyAcc.std...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tGravityAcc.std...X" "tGravityAcc.std...Y" "tGravityAcc.std...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyAccJerk.std...X" "tBodyAccJerk.std...Y" "tBodyAccJerk.std...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyro.std...X" "tBodyGyro.std...Y" "tBodyGyro.std...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyGyroJerk.std...X" "tBodyGyroJerk.std...Y" "tBodyGyroJerk.std...Z" "tBodyAccMag.mean.." "tBodyAccMag.std.." "tGravityAccMag.mean.." "tGravityAccMag.std.." "tBodyAccJerkMag.mean.." "tBodyAccJerkMag.std.." "tBodyGyroMag.mean.." "tBodyGyroMag.std.." "tBodyGyroJerkMag.mean.." "tBodyGyroJerkMag.std.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAcc.std...X" "fBodyAcc.std...Y" "fBodyAcc.std...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyAccJerk.std...X" "fBodyAccJerk.std...Y" "fBodyAccJerk.std...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyGyro.std...X" "fBodyGyro.std...Y" "fBodyGyro.std...Z" "fBodyAccMag.mean.." "fBodyAccMag.std.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyAccJerkMag.std.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroMag.std.." "fBodyBodyGyroJerkMag.mean.." "fBodyBodyGyroJerkMag.std.."
1 "LAYING" 0.280397728855072 -0.0104311790757971 -0.108232538884058 -0.629154821412015 -0.468023119656522 -0.600389430747826 0.678943968521739 -0.0196672396521739 0.113343829523188 -0.958447818695652 -0.953607395652174 -0.93539735115942 0.105148580478261 -0.0120776048898551 -0.0394055786769565 -0.610507125178261 -0.549639369763768 -0.77305150057971 -0.0236284803836232 -0.0932950257173913 0.110492120087681 -0.748699373637681 -0.557202182772464 -0.671258949463768 -0.100387158588406 -0.0257555700144928 -0.0470124901565217 -0.691629672971015 -0.698351684507246 -0.717416087476812 -0.555144475782609 -0.588127799163768 -0.555144475782609 -0.588127799163768 -0.626205909724638 -0.596519826913043 -0.570058680695652 -0.603842069072464 -0.700930575217391 -0.708733829913043 -0.614682150501449 -0.502541268546377 -0.67402026742029 -0.636348761531884 -0.485033396674058 -0.59688734973913 -0.630254463565217 -0.587421291289855 -0.758840117826087 -0.625065999331884 -0.539075770612754 -0.785667296086957 -0.694388012608696 -0.597704361017391 -0.634879776855072 -0.767425068449275 -0.540735911175362 -0.714587527144928 -0.563244194301449 -0.667623451550725 -0.580179908601449 -0.621104698891304 -0.626467471333333 -0.65902169557971 -0.704757750492754 -0.735365456391304
1 "SITTING" 0.255853599328767 -0.0140601907369863 -0.12970959480137 -0.540909581639726 -0.396436224469863 -0.504735429027397 0.784271486726027 -0.0765689097808219 0.0828057659863014 -0.958445134246575 -0.943570163287671 -0.903210114123288 0.0745097488739726 0.0214824283013699 0.000907389000136984 -0.524433404538356 -0.492925148078082 -0.706932252465753 -0.0564618870464383 -0.0625755078356164 0.0920819908780822 -0.670165911917808 -0.473915227809589 -0.579568826589041 -0.0835929995716438 -0.0337127636657534 -0.0578455330917808 -0.653711034191781 -0.636864730356164 -0.66514437260274 -0.45158573246411 -0.478598516034247 -0.45158573246411 -0.478598516034247 -0.549475889917808 -0.515522693971781 -0.480369485673973 -0.51096908249863 -0.644584870821918 -0.655013300027397 -0.52059578560274 -0.418772235821096 -0.586588618780822 -0.550939109561644 -0.426040076110959 -0.506122531231507 -0.541384871273973 -0.520542781464945 -0.680265522739726 -0.550084339358904 -0.497609554923288 -0.732419679178082 -0.612281170013699 -0.5061124411 -0.537615866568493 -0.690561823835616 -0.464077758328767 -0.63365287479452 -0.465321961671233 -0.572261048219178 -0.498658156855616 -0.541530327031507 -0.541164724054795 -0.579265332041096 -0.64853346250274 -0.688918419041096
1 "STANDING" 0.243898618 -0.0374419871103077 -0.0888719412153846 -0.515355326012308 -0.287322537278462 -0.438488406575385 0.6962795244 -0.0611944328615385 0.0718173577230769 -0.940786761692308 -0.942458911815385 -0.914463308923077 0.0820065847753846 0.0197970879138462 -0.0183060657676923 -0.500348806615385 -0.425589996038462 -0.711429813230769 -0.0285616423015385 -0.0868096040676923 0.0809305629476923 -0.633138095753846 -0.406436157690769 -0.571105671013846 -0.108711407563077 -0.0516852488707692 -0.0617871657523077 -0.599866182307692 -0.621909761 -0.641099065384615 -0.395112028721538 -0.444609876961538 -0.395112028721538 -0.444609876961538 -0.516932781601538 -0.493825483301538 -0.434624416183077 -0.429593040529231 -0.621219354769231 -0.630827919230769 -0.507389510123077 -0.343854100304615 -0.562948202461538 -0.5201118622 -0.30585217316 -0.424194434404615 -0.527551204244769 -0.462533204615385 -0.688347355076923 -0.516832027265692 -0.424229758646154 -0.733012622153846 -0.56234784454 -0.481144526353846 -0.521001055215385 -0.6572924424 -0.375208077029231 -0.628971469230769 -0.439345896016923 -0.539942380624615 -0.477621236350769 -0.520083482384615 -0.486191160861538 -0.494715753292308 -0.628287863938462 -0.662013808615385
1 "WALKING" 0.278028804339623 -0.0137775803830189 -0.0980950591509434 -0.532689736924528 -0.396707314250943 -0.505455722115094 0.757481638754717 -0.0942324389622641 0.0773066219981132 -0.96473115264151 -0.948236004716981 -0.930142813962264 0.0615094804283019 -0.00788694016716981 -0.00764339828033962 -0.533882559024528 -0.511302354609434 -0.716688723660377 -0.0138162286537736 -0.0906308056792453 0.0804798023792453 -0.721241250377359 -0.455952002075472 -0.611995841660377 -0.109918737437736 -0.0474076028924528 -0.046734107035283 -0.675052668377358 -0.641918937754717 -0.671554512943396 -0.457312403943396 -0.498188297150943 -0.457312403943396 -0.498188297150943 -0.561428144415094 -0.530573562962264 -0.486915355188679 -0.518725594471698 -0.653025928113208 -0.665008073207547 -0.535521225735849 -0.445688919360377 -0.600163787396226 -0.533096777939623 -0.412499882456604 -0.502490642283019 -0.556479144660377 -0.544025327501887 -0.693470526471698 -0.552219763113208 -0.508936995830189 -0.738515142264151 -0.661005044150943 -0.512236679677359 -0.570384101245283 -0.741953793396226 -0.43545525010566 -0.662574930320755 -0.489591703207547 -0.584083568773585 -0.513364000415094 -0.556542968666038 -0.553692679103774 -0.582523380566038 -0.660096166641509 -0.696555780226415
1 "WALKING_DOWNSTAIRS" 0.273680729761905 -0.0151483576719048 -0.112494851928571 -0.537912803690476 -0.332843249830952 -0.466526132980952 0.754966935857143 -0.127569106166667 0.0519891555714286 -0.970543494523809 -0.958236057380952 -0.936688749523809 0.0548342903095238 0.0655968897761905 0.020749778400881 -0.504815765933333 -0.444323082595238 -0.708801477380952 0.0137627777666667 -0.0963889291357143 0.0712131335238095 -0.677481072857143 -0.398301787738095 -0.580730189452381 -0.0982331272380952 -0.0557135887142857 -0.0382144169 -0.629521792547619 -0.613755299285714 -0.655125719047619 -0.435580814309524 -0.497419886523809 -0.435580814309524 -0.497419886523809 -0.525108319809524 -0.499848523857143 -0.430851839173809 -0.463786818119048 -0.622302959452381 -0.637528257619048 -0.520088771619048 -0.369295533857143 -0.581817867571429 -0.546778659516667 -0.358923893566667 -0.456457987642857 -0.526297798878571 -0.486090980952381 -0.685937378976191 -0.526920527238095 -0.436678404828571 -0.730108765714286 -0.614544901333333 -0.47120555252381 -0.535439758361905 -0.699158723571429 -0.369620467814286 -0.635651776904762 -0.472223092595238 -0.593283537857143 -0.47987199952381 -0.529584961826191 -0.5039784565 -0.535074730714286 -0.626373750690476 -0.679133313357143
1 "WALKING_UPSTAIRS" 0.268634398888889 -0.0178477475308889 -0.106336137533333 -0.492664618466667 -0.281849311355556 -0.472455994044444 0.827927382466667 -0.163790926911111 0.00638813597777778 -0.976158058 -0.969055190666667 -0.948963039333333 0.0702967509777778 0.0310730675933333 0.00479814286922222 -0.4366481516 -0.353344615315556 -0.665935981111111 0.0115266682444444 -0.112473730546667 0.0682412552244444 -0.662633272666667 -0.358550012378889 -0.5501655874 -0.0811364892 -0.0450075091844444 -0.0176157022888889 -0.548192021555556 -0.561353701688889 -0.617267964888889 -0.398348238044444 -0.461748549088889 -0.398348238044444 -0.461748549088889 -0.456309994711111 -0.422650537135556 -0.409145802866667 -0.435187616422222 -0.563717496 -0.589279619777778 -0.465430859844444 -0.317887519051111 -0.550880942 -0.505762454777778 -0.311032390567111 -0.477784069808889 -0.467392924231111 -0.404504920711111 -0.643236384666667 -0.455175116177778 -0.341744844035556 -0.686860433111111 -0.583355442 -0.420910957108889 -0.498622822977778 -0.688707510666667 -0.332653261984444 -0.610111946444444 -0.418890479888889 -0.573728512888889 -0.407478559173333 -0.446219964955556 -0.462209962393333 -0.518663034888889 -0.578868540555556 -0.632739866222222
2 "LAYING" 0.279828377755102 -0.0168668349653061 -0.110676488755102 -0.695972343918367 -0.533247105612245 -0.675635096122449 0.695860533673469 -0.156177979814286 0.124724435173469 -0.97576880755102 -0.97509037877551 -0.961490761428571 0.0558828966734694 0.00876038891816327 0.0388866538755102 -0.656227536857143 -0.575433789081633 -0.802547618163265 -0.0254788388734694 -0.0660518973877551 0.0824742394081633 -0.764283960612245 -0.772896922653061 -0.690036178897959 -0.083271887877551 -0.0584192824346939 -0.0672213066489796 -0.731510193183673 -0.830873514081633 -0.737712873061225 -0.627782240897959 -0.670676499387755 -0.627782240897959 -0.670676499387755 -0.668936717261225 -0.620432071102041 -0.690034510667347 -0.737102736326531 -0.795116424489796 -0.796115354367347 -0.678264764530612 -0.542891831359184 -0.708499653095918 -0.704209157979592 -0.559284276893877 -0.683555556306122 -0.662274717918367 -0.592911586897959 -0.780001715367347 -0.681490789714286 -0.586050177959184 -0.824243643061224 -0.704510316265306 -0.778750629795918 -0.674495377428571 -0.784076817346939 -0.772339896326531 -0.726121933612245 -0.639796793010204 -0.741190771081633 -0.613021887244898 -0.632444687979592 -0.755163951632653 -0.772455534489796 -0.804066267142857 -0.800591698244898
2 "SITTING" 0.271406718490566 -0.0227863321437736 -0.108993738075472 -0.675281304830189 -0.513679833339623 -0.67404238154717 0.582506393018868 -0.0786470777122641 0.205325332392453 -0.969929034150943 -0.970217816981132 -0.96042970509434 0.0687288832820755 0.0526941672601887 0.0168910401884906 -0.635770696939623 -0.548381799179245 -0.788253611886793 -0.0199530551562264 -0.0716614495 0.0882055132075472 -0.761208666603774 -0.760982618490566 -0.710354811067925 -0.119377101924528 -0.0381919489490566 -0.0408366815528302 -0.714966151509434 -0.826801879056604 -0.736343975962264 -0.613626014520755 -0.642709128773585 -0.613626014520755 -0.642709128773585 -0.653166156849057 -0.587310465735849 -0.686350566867925 -0.736113468301887 -0.791412669811321 -0.784986065320755 -0.642644318156604 -0.505802419396226 -0.701727815301887 -0.689820636018868 -0.549156447056604 -0.685771868811321 -0.637003498490566 -0.565427574981132 -0.76933056245283 -0.668483249528302 -0.561382767735849 -0.805691716415094 -0.698258768564151 -0.767933523962264 -0.679313101415094 -0.781778836037736 -0.759657183396226 -0.750041327169811 -0.606079863716981 -0.721410222773585 -0.586508579911321 -0.591320019971698 -0.745290276792453 -0.776643454339623 -0.793486336792453 -0.789552011641509
2 "STANDING" 0.271494242786885 -0.0136342298609836 -0.110184199196721 -0.576895727509836 -0.410323240131148 -0.583451267229508 0.57549596147541 -0.105328735836066 0.168335253634426 -0.962086237868853 -0.958616200163934 -0.954369780655738 0.124778062199508 0.000846254318032786 -0.000848454810491803 -0.532961890295082 -0.495221885391803 -0.734747963606557 -0.0308320510547541 -0.0712371050245902 0.070956501704918 -0.706474572295082 -0.712544674918033 -0.619665187721312 -0.107896168901639 -0.0257982734163934 -0.050023749595082 -0.673005905967213 -0.773085882295082 -0.656327115622951 -0.516872809236066 -0.5190911272 -0.516872809236066 -0.5190911272 -0.57414120747541 -0.498020826409836 -0.601995951226721 -0.668121192213115 -0.738224265737705 -0.731815958918033 -0.545450045137705 -0.417002425721475 -0.626138329852459 -0.590715232501639 -0.445164561690164 -0.593890298713115 -0.536657930103279 -0.50742754195082 -0.705854159508197 -0.572905491852459 -0.517769979836066 -0.763130257377049 -0.641471742655738 -0.711042538688525 -0.584176543196721 -0.728765631311475 -0.717565477213115 -0.670009489032787 -0.483303565377049 -0.615874413360656 -0.496642661967213 -0.504651757772131 -0.696692511016394 -0.710071011803279 -0.746747900918033 -0.732075528655738
2 "WALKING" 0.266493474145455 -0.0221977477727273 -0.118773805636364 -0.512676479272727 -0.323685388549091 -0.51104740976 0.746581046909091 -0.223331959381818 0.0876990937709091 -0.955085205636364 -0.948937572909091 -0.928196681272727 0.0790115984472727 0.00916961818945455 -0.0117254982589091 -0.458788168836364 -0.422406334610909 -0.684160802363636 -0.0721691078345455 -0.0480771045545455 0.102337834410909 -0.6533646836 -0.677150452727273 -0.585116050072727 -0.0690908996636364 -0.0420830467363636 -0.0666868393272727 -0.614905211272727 -0.745463802545455 -0.621186224045455 -0.440039997401818 -0.442674794421818 -0.440039997401818 -0.442674794421818 -0.509432452772727 -0.412376502852727 -0.548941343490909 -0.626322654127273 -0.704819357454545 -0.691418510254545 -0.474723039890909 -0.342315528649091 -0.552960804836364 -0.529453370290909 -0.358559082090909 -0.528692793072727 -0.460511910538182 -0.437604364785455 -0.650935044272727 -0.508665435478182 -0.446859798245455 -0.716663140181818 -0.563685997509091 -0.673955553272727 -0.54012271666 -0.683003907127273 -0.683235297454545 -0.642651365436364 -0.400137504785455 -0.556187282672727 -0.411704310125455 -0.417488910625455 -0.645607958490909 -0.680112711672727 -0.702179573127273 -0.699434030454546
